"Park_Name","City","Country","Year","Attendance","Type","Region"
" SIX FLAGS MAGIC MOUNTAIN"," VALENCIA"," U.S.","2021",30470000,"Amusement/Theme Park","North America"
" SIX FLAGS MAGIC MOUNTAIN"," VALENCIA"," U.S.","2022",29930000,"Amusement/Theme Park","North America"
" KINGS ISLAND"," KINGS ISLAND"," U.S.","2019",34850000,"Amusement/Theme Park","North America"
" KINGS ISLAND"," KINGS ISLAND"," U.S.","2020",16260000,"Amusement/Theme Park","North America"
" KINGS ISLAND"," KINGS ISLAND"," U.S.","2021",31810000,"Amusement/Theme Park","North America"
" KINGS ISLAND"," KINGS ISLAND"," U.S.","2022",33400000,"Amusement/Theme Park","North America"
" SIX FLAGS GREAT ADVENTURE"," JACKSON"," U.S.","2019",34510000,"Amusement/Theme Park","North America"
" SIX FLAGS GREAT ADVENTURE"," JACKSON"," U.S.","2020",5980000,"Amusement/Theme Park","North America"
" SIX FLAGS GREAT ADVENTURE"," JACKSON"," U.S.","2021",29130000,"Amusement/Theme Park","North America"
" SIX FLAGS GREAT ADVENTURE"," JACKSON"," U.S.","2022",21530000,"Amusement/Theme Park","North America"
" HERSHEYPARK"," HERSHEY"," U.S.","2019",33840000,"Amusement/Theme Park","North America"
" HERSHEYPARK"," HERSHEY"," U.S.","2020",17170000,"Amusement/Theme Park","North America"
" HERSHEYPARK"," HERSHEY"," U.S.","2021",30120000,"Amusement/Theme Park","North America"
" HERSHEYPARK"," HERSHEY"," U.S.","2022",31930000,"Amusement/Theme Park","North America"
" SIX FLAGS GREAT AMERICA"," GURNEE"," U.S.","2019",31690000,"Amusement/Theme Park","North America"
" SIX FLAGS GREAT AMERICA"," GURNEE"," U.S.","2020",0,"Amusement/Theme Park","North America"
" SIX FLAGS GREAT AMERICA"," GURNEE"," U.S.","2021",26750000,"Amusement/Theme Park","North America"
" SIX FLAGS GREAT AMERICA"," GURNEE"," U.S.","2022",25350000,"Amusement/Theme Park","North America"
"SIX FLAGS MEXICO"," MEXICO CITY"," MEXICO","2019",28030000,"Amusement/Theme Park","Latin America"
"SIX FLAGS MEXICO"," MEXICO CITY"," MEXICO","2020",7010000,"Amusement/Theme Park","Latin America"
"SIX FLAGS MEXICO"," MEXICO CITY"," MEXICO","2021",11250000,"Amusement/Theme Park","Latin America"
"SIX FLAGS MEXICO"," MEXICO CITY"," MEXICO","2022",17270000,"Amusement/Theme Park","Latin America"
